NAMESPACE              NAME                                                              READY   STATUS      RESTARTS   AGE     IP               NODE    NOMINATED NODE   READINESS GATES
metallb-system         speaker-p7wpf                                                     1/1     Running     0          38h     172.16.11.101    node1   <none>           <none>
metallb-system         speaker-vr6kz                                                     1/1     Running     0          38h     172.16.11.102    node2   <none>           <none>
northstar              bmp-7f9d5f76d5-tvwzp                                              3/3     Running     0          37h     10.244.166.189   node1   <none>           <none>
northstar              dcscheduler-645cc48484-wbk99                                      2/2     Running     0          37h     10.244.135.2     node3   <none>           <none>
northstar              license-util-6f9dc96f64-h94tv                                     1/1     Running     0          37h     10.244.166.138   node1   <none>           <none>
northstar              ns-anycastgroup-75b86cbfc4-jfjvz                                  1/1     Running     0          37h     10.244.135.9     node3   <none>           <none>
northstar              ns-celeryscheduler-8b99874d9-vdn8w                                1/1     Running     0          37h     10.244.104.7     node2   <none>           <none>
northstar              ns-celeryworker-0                                                 1/1     Running     0          37h     10.244.135.6     node3   <none>           <none>
northstar              ns-celeryworker-1                                                 1/1     Running     0          37h     10.244.166.154   node1   <none>           <none>
northstar              ns-cmgd-cf65ff44d-8qbj6                                           3/3     Running     0          37h     10.244.166.187   node1   <none>           <none>
northstar              ns-configserver-5c74cfc54f-p784x                                  2/2     Running     0          37h     10.244.166.188   node1   <none>           <none>
northstar              ns-dbinit-7j2d2                                                   0/1     Completed   0          37h     10.244.104.60    node2   <none>           <none>
northstar              ns-dbutils-78b687fd6f-9ktr2                                       1/1     Running     0          37h     10.244.166.131   node1   <none>           <none>
northstar              ns-dpadapter-6d5b546c69-86b72                                     2/2     Running     0          37h     10.244.135.11    node3   <none>           <none>
northstar              ns-epe-planner-8d99b4d8-wpz2z                                     1/1     Running     0          37h     10.244.104.22    node2   <none>           <none>
northstar              ns-espublisher-76b7d6b84d-rjqnw                                   1/1     Running     0          37h     10.244.104.10    node2   <none>           <none>
northstar              ns-filter-874cddb54-vr8f2                                         2/2     Running     0          37h     10.244.104.63    node2   <none>           <none>
northstar              ns-hbinit-d8wgz                                                   0/1     Completed   0          37h     10.244.166.149   node1   <none>           <none>
northstar              ns-ipe-6795d8559c-c6gnn                                           1/1     Running     0          37h     10.244.135.10    node3   <none>           <none>
northstar              ns-mladapter-6c4bc94d78-pxh6k                                     2/2     Running     0          37h     10.244.135.63    node3   <none>           <none>
northstar              ns-ncc-67696f65d4-g786w                                           2/2     Running     8          37h     10.244.104.6     node2   <none>           <none>
northstar              ns-netconfd-58cd6dd566-l4p29                                      2/2     Running     6          37h     10.244.166.191   node1   <none>           <none>
northstar              ns-netflowd-6b95bb457f-lv2dg                                      1/1     Running     3          37h     10.244.104.24    node2   <none>           <none>
northstar              ns-pceserver-d589c5f9c-ltm8l                                      2/2     Running     0          37h     10.244.166.190   node1   <none>           <none>
northstar              ns-pcserver-76dc6fdd7f-45l7h                                      2/2     Running     0          37h     10.244.104.3     node2   <none>           <none>
northstar              ns-pcviewer-5b58d4c79d-64rvq                                      2/2     Running     0          37h     10.244.135.7     node3   <none>           <none>
northstar              ns-prpdclient-5f8977d8bc-msnkv                                    2/2     Running     0          37h     10.244.104.23    node2   <none>           <none>
northstar              ns-ptalkserver-6cdf95489f-xdlqm                                   1/1     Running     0          37h     10.244.166.130   node1   <none>           <none>
northstar              ns-slice-655dcf8f7f-cgk89                                         1/1     Running     0          37h     10.244.166.135   node1   <none>           <none>
northstar              ns-srt-578b46845f-k4nb8                                           1/1     Running     0          37h     10.244.166.129   node1   <none>           <none>
northstar              ns-toposerver-cd6b85cf4-nqplw                                     2/2     Running     0          37h     10.244.104.61    node2   <none>           <none>
northstar              ns-web-6f87cb8786-lz6f2                                           2/2     Running     0          37h     10.244.104.62    node2   <none>           <none>
northstar              ns-web-planner-5d9f6fcd7-f9bxz                                    2/2     Running     0          37h     10.244.135.16    node3   <none>           <none>
northstar              rabbitmq-0                                                        1/1     Running     0          37h     10.244.135.59    node3   <none>           <none>
northstar              rabbitmq-1                                                        1/1     Running     0          37h     10.244.135.60    node3   <none>           <none>
northstar              rabbitmq-2                                                        1/1     Running     0          37h     10.244.166.186   node1   <none>           <none>
northstar              redis-master-cc885f687-p27h7                                      1/1     Running     0          37h     10.244.166.185   node1   <none>           <none>
paragonui              paragon-ui-776dc99bd4-hmg4g                                       1/1     Running     0          38h     10.244.135.32    node3   <none>           <none>
report                 report-service-86dc576c44-w5ql4                                   1/1     Running     1          38h     10.244.104.46    node2   <none>           <none>
rook-ceph              csi-cephfsplugin-cr7zf                                            3/3     Running     0          38h     172.16.11.102    node2   <none>           <none>
rook-ceph              csi-cephfsplugin-provisioner-684686bb7c-92zv9                     6/6     Running     0          38h     10.244.104.4     node2   <none>           <none>
rook-ceph              csi-cephfsplugin-provisioner-684686bb7c-d44mx                     6/6     Running     6          38h     10.244.166.134   node1   <none>           <none>
rook-ceph              csi-cephfsplugin-vm9c9                                            3/3     Running     0          38h     172.16.11.103    node3   <none>           <none>
rook-ceph              csi-cephfsplugin-zqcn8                                            3/3     Running     0          38h     172.16.11.101    node1   <none>           <none>
rook-ceph              csi-rbdplugin-5d448                                               3/3     Running     0          38h     172.16.11.103    node3   <none>           <none>
rook-ceph              csi-rbdplugin-d66kx                                               3/3     Running     0          38h     172.16.11.101    node1   <none>           <none>
rook-ceph              csi-rbdplugin-provisioner-64dd9947b4-6mgwf                        6/6     Running     0          38h     10.244.135.3     node3   <none>           <none>
rook-ceph              csi-rbdplugin-provisioner-64dd9947b4-x747n                        6/6     Running     4          38h     10.244.166.132   node1   <none>           <none>
rook-ceph              csi-rbdplugin-xhl75                                               3/3     Running     0          38h     172.16.11.102    node2   <none>           <none>
rook-ceph              rook-ceph-crashcollector-node1-7b8d449c6-cg89q                    1/1     Running     0          38h     10.244.166.136   node1   <none>           <none>
rook-ceph              rook-ceph-crashcollector-node2-56486dfc6c-fg2xj                   1/1     Running     0          38h     10.244.104.12    node2   <none>           <none>
rook-ceph              rook-ceph-crashcollector-node3-5f8c946d96-lkzlr                   1/1     Running     0          38h     10.244.135.13    node3   <none>           <none>
rook-ceph              rook-ceph-mds-cephfs-a-6b7b9bd9c5-z5q67                           1/1     Running     1          38h     10.244.104.11    node2   <none>           <none>
rook-ceph              rook-ceph-mds-cephfs-b-99cf6d9d5-4qn5t                            1/1     Running     1          38h     10.244.135.14    node3   <none>           <none>
rook-ceph              rook-ceph-mgr-a-bcd4d4f44-b8jk8                                   1/1     Running     0          38h     10.244.135.5     node3   <none>           <none>
rook-ceph              rook-ceph-mon-a-68d86bcd74-nbfzh                                  1/1     Running     0          38h     10.244.166.133   node1   <none>           <none>
rook-ceph              rook-ceph-mon-b-5b6f8cb7d-vfk7d                                   1/1     Running     1          38h     10.244.135.4     node3   <none>           <none>
