NAMESPACE              NAME                                                              READY   STATUS      RESTARTS   AGE     IP               NODE    NOMINATED NODE   READINESS GATES
northstar              ns-filter-874cddb54-fz7fp                                         2/2     Running     0          25m     10.244.166.138   node1   <none>           <none>
northstar              ns-hbinit-cpls8                                                   0/1     Completed   0          23m     10.244.166.164   node1   <none>           <none>
northstar              ns-ipe-6795d8559c-rdvbx                                           1/1     Running     0          24m     10.244.135.36    node3   <none>           <none>
northstar              ns-mladapter-6c4bc94d78-nwddw                                     2/2     Running     0          25m     10.244.104.49    node2   <none>           <none>
northstar              ns-ncc-67696f65d4-bx44l                                           2/2     Running     0          25m     10.244.135.37    node3   <none>           <none>
northstar              ns-netconfd-58cd6dd566-5xcjg                                      2/2     Running     0          25m     10.244.166.154   node1   <none>           <none>
northstar              ns-netflowd-6b95bb457f-jldzx                                      1/1     Running     1          24m     10.244.135.39    node3   <none>           <none>
northstar              ns-pceserver-d589c5f9c-sdn9r                                      2/2     Running     0          25m     10.244.135.26    node3   <none>           <none>
northstar              ns-pcserver-76dc6fdd7f-5bnwq                                      2/2     Running     0          25m     10.244.104.48    node2   <none>           <none>
northstar              ns-pcviewer-5b58d4c79d-6lsqc                                      2/2     Running     0          25m     10.244.135.32    node3   <none>           <none>
northstar              ns-prpdclient-5f8977d8bc-dppqk                                    2/2     Running     0          24m     10.244.135.35    node3   <none>           <none>
northstar              ns-ptalkserver-6cdf95489f-j2hq4                                   1/1     Running     0          24m     10.244.104.51    node2   <none>           <none>
northstar              ns-slice-655dcf8f7f-w2bc2                                         1/1     Running     0          24m     10.244.166.163   node1   <none>           <none>
northstar              ns-srt-578b46845f-2ctm2                                           1/1     Running     0          24m     10.244.166.165   node1   <none>           <none>
northstar              ns-toposerver-cd6b85cf4-68xpg                                     2/2     Running     0          25m     10.244.104.47    node2   <none>           <none>
northstar              ns-web-6f87cb8786-6wrmx                                           2/2     Running     1          25m     10.244.166.140   node1   <none>           <none>
northstar              ns-web-planner-5d9f6fcd7-mwg8r                                    2/2     Running     0          24m     10.244.166.160   node1   <none>           <none>
northstar              rabbitmq-0                                                        1/1     Running     0          28m     10.244.166.133   node1   <none>           <none>
northstar              rabbitmq-1                                                        1/1     Running     0          28m     10.244.166.136   node1   <none>           <none>
northstar              rabbitmq-2                                                        1/1     Running     0          27m     10.244.104.45    node2   <none>           <none>
northstar              redis-master-68c767d5b9-pzzdg                                     1/1     Running     0          28m     10.244.166.137   node1   <none>           <none>
paragonui              paragon-ui-776dc99bd4-x29dn                                       1/1     Running     0          42m     10.244.135.34    node3   <none>           <none>
report                 report-service-86dc576c44-t7m5t                                   1/1     Running     1          40m     10.244.166.179   node1   <none>           <none>
rook-ceph              csi-cephfsplugin-cx9tg                                            3/3     Running     0          74m     172.16.11.102    node2   <none>           <none>
rook-ceph              csi-cephfsplugin-jvtw4                                            3/3     Running     0          74m     172.16.11.101    node1   <none>           <none>
rook-ceph              csi-cephfsplugin-provisioner-684686bb7c-6hk9r                     6/6     Running     0          74m     10.244.166.131   node1   <none>           <none>
rook-ceph              csi-cephfsplugin-provisioner-684686bb7c-n2ps6                     6/6     Running     4          74m     10.244.104.4     node2   <none>           <none>
rook-ceph              csi-cephfsplugin-v4jsq                                            3/3     Running     0          74m     172.16.11.103    node3   <none>           <none>
rook-ceph              csi-rbdplugin-9nvz6                                               3/3     Running     0          74m     172.16.11.101    node1   <none>           <none>
rook-ceph              csi-rbdplugin-9t5xz                                               3/3     Running     0          74m     172.16.11.102    node2   <none>           <none>
rook-ceph              csi-rbdplugin-pgzvf                                               3/3     Running     0          74m     172.16.11.103    node3   <none>           <none>
rook-ceph              csi-rbdplugin-provisioner-64dd9947b4-pbf6t                        6/6     Running     0          74m     10.244.135.2     node3   <none>           <none>
rook-ceph              csi-rbdplugin-provisioner-64dd9947b4-q94w4                        6/6     Running     4          74m     10.244.104.3     node2   <none>           <none>
rook-ceph              rook-ceph-crashcollector-node1-57556c8986-w6kxx                   1/1     Running     0          70m     10.244.166.142   node1   <none>           <none>
rook-ceph              rook-ceph-crashcollector-node2-596f86d689-4n2pb                   1/1     Running     0          71m     10.244.104.8     node2   <none>           <none>
rook-ceph              rook-ceph-crashcollector-node3-5f8c946d96-nq96r                   1/1     Running     0          70m     10.244.135.11    node3   <none>           <none>
rook-ceph              rook-ceph-mds-cephfs-a-84cb5c97cc-9srfp                           1/1     Running     1          70m     10.244.135.12    node3   <none>           <none>
rook-ceph              rook-ceph-mds-cephfs-b-57d4758f99-tfqj4                           1/1     Running     1          70m     10.244.135.13    node3   <none>           <none>
rook-ceph              rook-ceph-mgr-a-5d5b695f46-zqvjs                                  1/1     Running     0          71m     10.244.166.135   node1   <none>           <none>
rook-ceph              rook-ceph-mon-a-5859c8cbdb-w2zkc                                  1/1     Running     0          73m     10.244.166.134   node1   <none>           <none>
rook-ceph              rook-ceph-mon-b-5b875bdd5d-57vmc                                  1/1     Running     0          72m     10.244.135.4     node3   <none>           <none>
